,event_name,index,run,epevent,position600,ring_type,position,onset,onset0
191,iti,191.0,1.0,fix,,,,299.92406158999984,291.0
192,iti,192.0,1.0,fix,,,,301.42406158999984,292.5
193,iti,193.0,1.0,fix,,,,302.92406158999984,294.0
194,iti,194.0,1.0,fix,,,,304.42406158999984,295.5
195,iti,195.0,1.0,fix,,,,305.92406158999984,297.0
196,iti,196.0,1.0,fix,,,,307.42406158999984,298.5
197,iti,197.0,1.0,fix,,,,308.92406158999984,300.0
198,iti,198.0,1.0,fix,,,,310.42406158999984,301.5
199,iti,199.0,1.0,fix,,,,311.92406158999984,303.0
200,iti,200.0,1.0,fix,,,,313.42406158999984,304.5
201,iti,201.0,1.0,fix,,,,314.92406158999984,306.0
