,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
137,neutral214,dot,339.0,-0.465,214.0,neu,2.0,595.651655100286,210.0
138,fix,iti,340.0,,,,2.0,597.151655100286,211.5
139,reward426,ring,341.0,0.065,426.0,rew,2.0,598.651655100286,213.0
140,reward426,prep,342.0,0.065,426.0,rew,2.0,600.151655100286,214.5
141,reward426,dot,343.0,0.065,426.0,rew,2.0,601.651655100286,216.0
142,fix,iti,344.0,,,,2.0,603.151655100286,217.5
143,rewardCatch1,ring,345.0,,,rew,2.0,604.651655100286,219.0
144,rewardCatch1,prep,346.0,,,rew,2.0,606.151655100286,220.5
145,fix,iti,347.0,,,,2.0,607.651655100286,222.0
146,fix,iti,348.0,,,,2.0,609.151655100286,223.5
147,fix,iti,349.0,,,,2.0,610.651655100286,225.0
148,reward108,ring,350.0,-0.73,108.0,rew,2.0,612.151655100286,226.5
149,reward108,prep,351.0,-0.73,108.0,rew,2.0,613.651655100286,228.0
150,reward108,dot,352.0,-0.73,108.0,rew,2.0,615.151655100286,229.5
151,fix,iti,353.0,,,,2.0,616.651655100286,231.0
152,fix,iti,354.0,,,,2.0,618.151655100286,232.5
153,fix,iti,355.0,,,,2.0,619.651655100286,234.0
154,fix,iti,356.0,,,,2.0,621.151655100286,235.5
155,fix,iti,357.0,,,,2.0,622.651655100286,237.0
156,fix,iti,358.0,,,,2.0,624.151655100286,238.5
157,fix,iti,359.0,,,,2.0,625.651655100286,240.0
158,fix,iti,360.0,,,,2.0,627.151655100286,241.5
159,fix,iti,361.0,,,,2.0,628.651655100286,243.0
160,fix,iti,362.0,,,,2.0,630.151655100286,244.5
161,neutral633,ring,363.0,0.5825,633.0,neu,2.0,631.651655100286,246.0
162,neutral633,prep,364.0,0.5825,633.0,neu,2.0,633.151655100286,247.5
163,neutral633,dot,365.0,0.5825,633.0,neu,2.0,634.651655100286,249.0
164,fix,iti,366.0,,,,2.0,636.151655100286,250.5
165,fix,iti,367.0,,,,2.0,637.651655100286,252.0
166,fix,iti,368.0,,,,2.0,639.151655100286,253.5
167,fix,iti,369.0,,,,2.0,640.651655100286,255.0
168,reward108,ring,370.0,-0.73,108.0,rew,2.0,642.151655100286,256.5
169,reward108,prep,371.0,-0.73,108.0,rew,2.0,643.651655100286,258.0
170,reward108,dot,372.0,-0.73,108.0,rew,2.0,645.151655100286,259.5
171,fix,iti,373.0,,,,2.0,646.651655100286,261.0
172,neutralCatch1,ring,374.0,,,neu,2.0,648.151655100286,262.5
173,neutralCatch1,prep,375.0,,,neu,2.0,649.651655100286,264.0
174,fix,iti,376.0,,,,2.0,651.151655100286,265.5
175,rewardCatch2,ring,377.0,,,rew,2.0,652.651655100286,267.0
176,fix,iti,378.0,,,,2.0,654.151655100286,268.5
177,reward633,ring,379.0,0.5825,633.0,rew,2.0,655.651655100286,270.0
178,reward633,prep,380.0,0.5825,633.0,rew,2.0,657.151655100286,271.5
179,reward633,dot,381.0,0.5825,633.0,rew,2.0,658.651655100286,273.0
180,fix,iti,382.0,,,,2.0,660.151655100286,274.5
181,reward007,ring,383.0,-0.9825,7.0,rew,2.0,661.651655100286,276.0
182,reward007,prep,384.0,-0.9825,7.0,rew,2.0,663.151655100286,277.5
183,reward007,dot,385.0,-0.9825,7.0,rew,2.0,664.651655100286,279.0
184,fix,iti,386.0,,,,2.0,666.151655100286,280.5
185,neutralCatch2,ring,387.0,,,neu,2.0,667.651655100286,282.0
186,fix,iti,388.0,,,,2.0,669.151655100286,283.5
187,fix,iti,389.0,,,,2.0,670.651655100286,285.0
188,fix,iti,390.0,,,,2.0,672.151655100286,286.5
189,fix,iti,391.0,,,,2.0,673.651655100286,288.0
190,fix,iti,392.0,,,,2.0,675.151655100286,289.5
191,fix,iti,393.0,,,,2.0,676.651655100286,291.0
192,fix,iti,394.0,,,,2.0,678.151655100286,292.5
193,fix,iti,395.0,,,,2.0,679.651655100286,294.0
194,fix,iti,396.0,,,,2.0,681.151655100286,295.5
195,fix,iti,397.0,,,,2.0,682.651655100286,297.0
196,fix,iti,398.0,,,,2.0,684.151655100286,298.5
197,fix,iti,399.0,,,,2.0,685.651655100286,300.0
198,fix,iti,400.0,,,,2.0,687.151655100286,301.5
199,fix,iti,401.0,,,,2.0,688.651655100286,303.0
200,fix,iti,402.0,,,,2.0,690.151655100286,304.5
201,fix,iti,403.0,,,,2.0,691.651655100286,306.0
